"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",2011-08-04,13.9075,13.975714,13.476786,13.4775,871407600,11.470945
"AAPL",2011-08-05,13.587143,13.696429,12.948929,13.343571,1204590800,11.35696
"AAPL",2011-08-08,12.9175,13.134643,12.607857,12.614643,1143833600,10.736554
"AAPL",2011-08-09,12.903571,13.378929,12.678571,13.3575,1082583600,11.368812
"AAPL",2011-08-10,13.255357,13.380357,12.946429,12.988929,878656800,11.055118
"AAPL",2011-08-11,13.232857,13.408929,13.025714,13.346429,741969200,11.359392
"AAPL",2011-08-12,13.5025,13.558571,13.365357,13.463929,528976000,11.459395
"AAPL",2011-08-15,13.558214,13.748929,13.503214,13.693214,460544000,11.654547
"AAPL",2011-08-16,13.625714,13.691786,13.430714,13.588571,498750000,11.565482
"AAPL",2011-08-17,13.653929,13.732857,13.5,13.587143,442061200,11.564268
"AAPL",2011-08-18,13.244286,13.308929,12.906071,13.073214,851435200,11.126854
"AAPL",2011-08-19,12.934643,13.107143,12.714286,12.715357,775888400,10.822273
"AAPL",2011-08-22,13.018214,13.031429,12.681786,12.73,535315200,10.834737
"AAPL",2011-08-23,12.867857,13.344286,12.75,13.342857,656835200,11.356352
"AAPL",2011-08-24,13.338214,13.534286,13.235714,13.435,626267600,11.434777
"AAPL",2011-08-25,13.038571,13.408929,13.035714,13.347143,871346000,11.359997
"AAPL",2011-08-26,13.256071,13.707143,13.242857,13.699286,641477200,11.659712
"AAPL",2011-08-29,13.863571,13.982143,13.857143,13.9275,405269200,11.853952
"AAPL",2011-08-30,13.866071,13.994286,13.793214,13.928214,417922400,11.854562
"AAPL",2011-08-31,13.948929,14.002857,13.637857,13.743929,522586400,11.697711
"AAPL",2011-09-01,13.779286,13.833571,13.597143,13.608214,343725200,11.582204
"AAPL",2011-09-02,13.383571,13.5,13.279643,13.358929,438939200,11.370029
"AAPL",2011-09-06,13.120357,13.583214,13.088571,13.562143,509698000,11.542991
"AAPL",2011-09-07,13.77,13.771429,13.642857,13.711786,350576800,11.670353
"AAPL",2011-09-08,13.657143,13.878929,13.653929,13.719286,416158400,11.676738
"AAPL",2011-09-09,13.711786,13.785714,13.393571,13.481429,564813200,11.474291
"AAPL",2011-09-12,13.321429,13.602857,13.282143,13.569286,467832400,11.549067
"AAPL",2011-09-13,13.647857,13.793214,13.580357,13.736429,440560400,11.691327
"AAPL",2011-09-14,13.822143,14.0075,13.777143,13.903571,534724400,11.833584
"AAPL",2011-09-15,13.979643,14.059286,13.925,14.034286,417818800,11.94484
"AAPL",2011-09-16,14.126429,14.303571,14.108214,14.303571,698513200,12.174031
"AAPL",2011-09-19,14.178571,14.758214,14.114286,14.701071,823860800,12.51235
"AAPL",2011-09-20,14.830357,15.102143,14.685357,14.766071,775754000,12.567676
"AAPL",2011-09-21,14.987143,15.056786,14.714286,14.719286,605976000,12.527854
"AAPL",2011-09-22,14.3225,14.636429,14.167857,14.350714,968480800,12.214155
"AAPL",2011-09-23,14.295714,14.526429,14.280357,14.439286,546277200,12.289539
"AAPL",2011-09-26,14.280714,14.427857,13.975,14.398929,812876400,12.255195
"AAPL",2011-09-27,14.5975,14.616071,14.216429,14.259286,632497600,12.136344
"AAPL",2011-09-28,14.2925,14.419286,14.161071,14.178929,429637600,12.067946
"AAPL",2011-09-29,14.354286,14.364643,13.793214,13.948929,651086800,11.872186
"AAPL",2011-09-30,13.825714,13.888929,13.613571,13.618571,547640800,11.591016
"AAPL",2011-10-03,13.584643,13.665714,13.3275,13.378571,669099200,11.386745
"AAPL",2011-10-04,13.3775,13.635714,12.651429,13.303571,1233677200,11.322917
"AAPL",2011-10-05,13.137857,13.565,12.867857,13.508929,786469600,11.4977
"AAPL",2011-10-06,13.333214,13.742143,13.278571,13.4775,812582400,11.470945
"AAPL",2011-10-07,13.420714,13.490714,13.160357,13.207143,535458000,11.240844
"AAPL",2011-10-10,13.538929,13.886071,13.5075,13.886071,442514800,11.81869
"AAPL",2011-10-11,14.020357,14.399286,13.982143,14.296071,605687600,12.167651
"AAPL",2011-10-12,14.547857,14.616071,14.290714,14.363929,622286000,12.225405
"AAPL",2011-10-13,14.463571,14.586786,14.3875,14.586786,426185200,12.415082
"AAPL",2011-10-14,14.886786,15.071429,14.831071,15.071429,573367200,12.827572
"AAPL",2011-10-17,15.062143,15.239286,14.855,14.999643,686044800,12.766468
"AAPL",2011-10-18,15.062857,15.171786,14.856786,15.08,881602400,12.834867
"AAPL",2011-10-19,14.333929,14.586429,14.207143,14.236429,1104059600,12.116886
"AAPL",2011-10-20,14.285714,14.298214,14.078929,14.118214,549270400,12.016272
"AAPL",2011-10-21,14.217857,14.255,13.955357,14.031071,621244400,11.942104
"AAPL",2011-10-24,14.149286,14.517857,14.121429,14.491786,502138000,12.334225
"AAPL",2011-10-25,14.465357,14.519643,14.192143,14.206071,430427200,12.091049
"AAPL",2011-10-26,14.348571,14.376786,14.041071,14.307143,456304800,12.177071
"AAPL",2011-10-27,14.555714,14.607143,14.353214,14.453214,494664800,12.301393
"AAPL",2011-10-28,14.392857,14.5125,14.375357,14.4625,322842800,12.309299
"AAPL",2011-10-31,14.372143,14.618929,14.323214,14.456429,385501200,12.304132
"AAPL",2011-11-01,14.193214,14.267857,14.043571,14.161071,531790000,12.052748
"AAPL",2011-11-02,14.288929,14.301429,14.111071,14.193214,327350800,12.080107
"AAPL",2011-11-03,14.2525,14.407143,14.12,14.395357,441386400,12.252153
"AAPL",2011-11-04,14.358214,14.408571,14.255714,14.294286,302229200,12.166129
"AAPL",2011-11-07,14.2825,14.285714,14.1475,14.276071,270275600,12.150625
"AAPL",2011-11-08,14.364643,14.571429,14.341429,14.508214,400442000,12.348207
